id,origin_user,origin,destination,flight_type,travel_date,overall_rating,review_text
40518,Desconocido,Bilbao,Palma de Mallorca,Domestic,marzo de 2026,1,"Me han hecho pagar la maleta. 120 euros cuando he intentado explicar que había algún error no me han dejado ni explicarme. Que suerte que la ida no la había pagado. En algún momento ha habido un error. Como voy a tener maleta para ir y no para volver? Personal muy maleducado. Me llevo directamente a pagar si explicarme. Mi reserva, que se hace la ida h vuelta junta estaba con maleta incluida. 120 euros. REPITO. AL RESERVAR HACES LA IDA Y LA VUELTA. MUY MAL TRATO DEL PERSONAL"
40519,"Villena, España",Bilbao,Alicante,Domestic,marzo de 2026,1,Contrate una maleta extra de cabina. En el aeropuerto me indican que tenía que haberla facturado y me cobran 60 euros de penalización. Cuando revisas la reserva no pone en ningun sitio que sea maleta a facturar. Las medidas y el peso son correctos para ir en cabina. Son una empresa que solo piensa en recaudar. El servicio de atencion al cliente son unos ineptos o se lo hacen.NO VUELEN CON ESTA COMPAÑIA.
40520,"Telde, España",Barcelona,Las Palmas de Gran Canaria,Domestic,marzo de 2026,1,"Horrible el desprecio de la azafata morena delgada. Se pasó el vuelo charlando con unos amigos que estaban en la fila 4. Le llevó comida y bebida como regalo mientras el resto teníamos que pagar 3,50€ por una botella de agua pequeña.
Pasamos por una zona de turbulencias y todos con el cinturón puesto mientras uno de ellos se sienta en la zona de la tripulación y el otro se acuesta en los asientos. Me parece una falta de respeto hacia los pasajeros entre los cuales habían 2 que se encontraron un poco mareados mientras ella parecía que estaba en el salón de su casa con sus amigos"
40521,"Las Palmas de Gran Canaria, España",Las Palmas de Gran Canaria,Seville,Domestic,marzo de 2026,3,"Las azafatas son un poco borde. Han cerrado  un baño de la parte trasera ocasionando colas innecesarias simplemente por incordiar, nos ha parecido una falta de respeto."
40522,"Benicarló, España",Palma de Mallorca,Valencia,Domestic,marzo de 2026,1,"Tenía pagado maleta de 20 kg , maleta de cabina i bolsa bajo asiento. La maleta grande soli pesaba 12 kg y no me hicieron cubicar la maleta de cabina en la facturación , pero a la hora de embarque si y se salía 2 cm y me querían cobrar 60 euros. Bajo presión por el tiempo final de salida tuve que desmontar una estructura protectora de espalda de la mochila que llevaba en cabina i sacar una bolsa de ropa sucia y ponerme un abrigo. Al final sobraba espacio. Todo esto por dos centímetros de altura que si lo hubieran hecho en la facturación la hubiera facturado ya que me sobraban kilos. Todo por recaudar euros ya que la hubiera metido en la cabina igual. El personal poco amable o mejor dicho cero amable."
40523,"Santiago, Chile",Florence,Madrid,Europe,febrero de 2026,2,"Fue muy malo la verdad , se atrasaron 3hrs y solo nos dieron una disculpa y un ticket con 8 euros , éramos 3 personas entonces no era nada para nosotros , no vuelen en ella , también hacen overbooking , solo felicito a el piloto por que sabía 3 idiomas"
40524,"Pamplona, España",Bilbao,London,Europe,marzo de 2026,5,"Muy puntuales, el personal muy amable y los vuelos (ida y vuelta) una maravilla. Al ir en primera fila, íbamos muy cómodas y tanto los embarques como desembarques, muy ordenados."
40525,"Palma de Mallorca, España",Palma de Mallorca,Grand Island,International,marzo de 2026,5,"Buenos días. Como pasajera con miedo a volar, quería agradecer enormemente la atención que recibí por parte de la compañía, en todo momento estuvieron pendientes de mi y tuve la gran suerte de conocer a Carolina y Alex Espinosa, que hicieron que la experiencia tanto de ida como de vuelta hiciera que pudiera ir tranquila. Sin duda volveré a volar con vosotros y espero poder coincidir nuevamente con el equipo. Un saludo. Victoria"
40526,Desconocido,Barcelona,Paris,Europe,febrero de 2026,5,Un dia viaje paris orly el personal muy amable quiero agradecer al personal de el vuelo de las 9 y 25 de la mañana de el 21 de febrero mucho mas a el piloto que cuando vio que yo soy un apasionada por volar me dejo ver la cabina
40527,Desconocido,Milan,Barcelona,Europe,marzo de 2026,1,"Para variar sale tarde, pero encima crean un caos en el embarque que no se evita solo por dejadez. Las que hacen el embarque dejando que todo el mundo se cuele, no se respetan los grupos, primero juntan los grupos 1y2, pero luego solo dejan embarcar el 1 con el consiguiente tapón de gente del grupo 2 .. Un desastre por pasar olímpicamente de los pasajeros"
